date,race,national,firm,dem
2020-01-19,13,FALSE,Change Research,0.5
2020-01-20,15,TRUE,YouGov,0.5057471264367817
2020-01-23,4,FALSE,"Fabrizio, Lee & Associates",0.4891304347826087
2020-01-25,15,TRUE,Morning Consult,0.5357142857142857
2020-01-27,15,TRUE,YouGov,0.5517241379310345
2020-01-28,15,TRUE,NBC News/The Wall Street Journal,0.532608695652174
2020-01-29,31,FALSE,Mason-Dixon Polling & Strategy,0.375
2020-01-29,31,FALSE,Mason-Dixon Polling & Strategy,0.43209876543209874
2020-02-01,29,FALSE,East Carolina University,0.42696629213483145
2020-02-03,12,FALSE,DFM Research,0.5
2020-02-03,15,TRUE,YouGov,0.5393258426966292
2020-02-05,2,FALSE,Mason-Dixon Polling & Strategy,0.43157894736842106
2020-02-05,2,FALSE,Mason-Dixon Polling & Strategy,0.45652173913043476
2020-02-05,2,FALSE,Mason-Dixon Polling & Strategy,0.45161290322580644
2020-02-08,4,FALSE,HighGround Inc.,0.5392731535756154
2020-02-08,15,TRUE,Morning Consult,0.5232558139534884
2020-02-09,15,TRUE,McLaughlin & Associates,0.5108695652173914
2020-02-10,15,TRUE,YouGov,0.5454545454545454
2020-02-12,12,FALSE,McLaughlin & Associates,0.4451003541912633
2020-02-12,16,FALSE,SocialSphere,0.5058823529411764
2020-02-15,17,FALSE,Quinnipiac University,0.5357142857142857
2020-02-15,15,TRUE,Marist College,0.5454545454545454
2020-02-17,15,TRUE,YouGov,0.5393258426966292
2020-02-20,29,FALSE,Marist College,0.4065934065934066
2020-02-22,23,FALSE,University of New Hampshire,0.620253164556962
2020-02-22,23,FALSE,University of New Hampshire,0.6296296296296297
2020-02-22,23,FALSE,University of New Hampshire,0.65
2020-02-22,15,TRUE,Morning Consult,0.5357142857142857
2020-02-24,15,TRUE,YouGov,0.5454545454545454
2020-02-25,21,FALSE,Marist College,0.5274725274725275
2020-02-25,32,FALSE,Marist College,0.45555555555555555
2020-02-25,21,FALSE,Public Policy Polling,0.5287356321839081
2020-02-26,15,TRUE,YouGov,0.5604395604395604
2020-02-27,21,FALSE,East Carolina University,0.4877764842840512
2020-02-27,19,FALSE,Mason-Dixon Polling & Strategy,0.4479166666666667
2020-03-02,16,FALSE,Public Policy Polling,0.5222222222222223
2020-03-02,4,FALSE,Public Policy Polling,0.5280898876404494
2020-03-02,15,TRUE,YouGov,0.5730337078651685
2020-03-03,4,FALSE,OH Predictive Insights,0.5384615384615384
2020-03-06,17,FALSE,Optimus,0.4939847778050577
2020-03-06,15,TRUE,SSRS,0.5463917525773195
2020-03-07,29,FALSE,brilliant corners Research & Strategies,0.4777777777777778
2020-03-07,26,FALSE,Amber Integrated,0.3522727272727273
2020-03-07,15,TRUE,Morning Consult,0.5348837209302325
2020-03-08,4,FALSE,Latino Decisions,0.5714285714285714
2020-03-09,15,TRUE,YouGov,0.5280898876404494
2020-03-12,4,FALSE,Marist College,0.5161290322580645
2020-03-12,20,FALSE,Public Policy Polling,0.5
2020-03-13,4,FALSE,Monmouth University,0.5319148936170213
2020-03-14,17,FALSE,Hodas & Associates,0.5459459459459459
2020-03-14,15,TRUE,RMG Research,0.5517241379310345
2020-03-16,15,TRUE,YouGov,0.5568181818181818
2020-03-18,17,FALSE,Marketing Resource Group (MRG),0.5454545454545454
2020-03-21,15,TRUE,Morning Consult,0.5476190476190477
